Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+
MO_071.bin.2	f__Rhodobacteraceae (UID3340)	84	568	330	16.18	0.00	0.00	159629	4144	569	569	349	341	280	273	1514	1467	35.5	4.17	-100.00	-1	-1	469	99	0	0	0	0
MO_071.bin.20	s__algicola (UID2846)	47	571	303	39.56	0.50	50.00	368375	17563	1173	1173	402	382	314	299	1453	1390	39.0	5.28	-100.00	-1	-1	330	239	2	0	0	0
MO_071.bin.21	root (UID1)	5656	56	24	4.17	0.00	0.00	267913	5778	958	958	348	336	279	273	1097	1074	35.7	5.01	-100.00	-1	-1	55	1	0	0	0	0
MO_071.bin.22	k__Bacteria (UID203)	5449	104	58	17.40	0.00	0.00	140870	4018	469	469	365	356	300	291	1337	1291	35.9	5.92	-100.00	-1	-1	92	12	0	0	0	0
MO_071.bin.23	k__Bacteria (UID203)	5449	104	58	84.01	5.80	0.00	974314	23502	3244	3244	374	365	300	293	4797	4616	34.6	4.54	-100.00	-1	-1	15	71	18	0	0	0
MO_071.bin.24	k__Bacteria (UID203)	5449	102	56	11.04	0.00	0.00	79600	2266	279	279	379	372	285	277	993	978	35.9	0.00	-100.00	-1	-1	88	14	0	0	0	0
MO_071.bin.25	k__Bacteria (UID203)	5449	102	56	8.93	0.00	0.00	59554	1999	209	209	384	372	284	275	1293	1236	35.8	4.05	-100.00	-1	-1	96	6	0	0	0	0
MO_071.bin.26	root (UID1)	5656	56	24	0.00	0.00	0.00	110283	2952	389	389	367	355	283	275	1203	1161	35.5	6.61	-100.00	-1	-1	56	0	0	0	0	0
MO_071.bin.27	k__Bacteria (UID203)	5449	104	58	3.45	0.00	0.00	98249	2340	332	332	370	362	295	288	1187	1146	34.3	2.13	-100.00	-1	-1	102	2	0	0	0	0
MO_071.bin.28	c__Deltaproteobacteria (UID3216)	83	247	155	63.89	4.52	40.00	812879	23660	2688	2688	386	374	302	293	1917	1856	36.0	4.82	-100.00	-1	-1	79	158	10	0	0	0
MO_071.bin.29	k__Bacteria (UID203)	5449	104	58	1.72	0.00	0.00	166178	4566	532	532	398	390	312	303	1715	1667	38.2	5.45	-100.00	-1	-1	103	1	0	0	0	0
MO_071.bin.3	root (UID1)	5656	56	24	0.00	0.00	0.00	140823	3732	469	469	381	372	300	292	2346	2309	35.9	6.29	-100.00	-1	-1	56	0	0	0	0	0
MO_071.bin.30	c__Gammaproteobacteria (UID4267)	119	544	284	68.07	4.90	37.04	919784	22590	3039	3039	405	396	302	295	1701	1666	36.3	4.69	-100.00	-1	-1	168	351	24	1	0	0
MO_071.bin.31	root (UID1)	5656	56	24	12.50	0.00	0.00	117697	3333	358	358	413	404	328	319	1713	1669	35.9	1.27	-100.00	-1	-1	53	3	0	0	0	0
MO_071.bin.4	k__Bacteria (UID203)	5449	104	58	13.79	1.72	0.00	305048	9091	1008	1008	398	385	302	293	1974	1917	35.0	6.59	-100.00	-1	-1	94	8	2	0	0	0
MO_071.bin.5	k__Bacteria (UID203)	5449	102	56	2.92	0.00	0.00	60930	1820	230	230	347	336	264	257	1454	1413	36.1	6.48	-100.00	-1	-1	93	9	0	0	0	0
MO_071.bin.6	c__Gammaproteobacteria (UID4267)	119	544	284	21.82	0.00	0.00	241070	5813	775	775	385	377	311	303	1490	1441	36.8	5.44	-100.00	-1	-1	408	136	0	0	0	0
MO_071.bin.7	s__algicola (UID2846)	47	571	303	41.44	0.44	0.00	365031	14440	1177	1177	386	373	310	297	2111	1918	39.2	5.52	-100.00	-1	-1	325	244	2	0	0	0
MO_071.bin.8	c__Deltaproteobacteria (UID3216)	83	247	155	70.41	4.94	61.54	1129220	32491	3701	3701	389	378	305	296	2987	2868	36.2	4.64	-100.00	-1	-1	55	179	13	0	0	0
MO_071.bin.9	c__Gammaproteobacteria (UID4267)	119	544	284	81.79	6.55	9.52	1222668	36626	3746	3746	406	394	326	316	3376	3197	35.3	4.57	-100.00	-1	-1	109	399	33	3	0	0
MO_073.bin.1	c__Deltaproteobacteria (UID3216)	83	247	155	80.94	1.02	0.00	1111298	43074	3646	3646	389	373	304	292	1960	1855	37.4	5.01	-100.00	-1	-1	38	206	3	0	0	0
MO_073.bin.10	p__Cyanobacteria (UID2192)	79	584	458	59.81	2.87	68.75	872547	44115	2957	2957	407	388	295	280	3553	3221	37.9	5.37	-100.00	-1	-1	209	359	16	0	0	0
MO_073.bin.11	c__Alphaproteobacteria (UID3305)	564	349	230	26.29	0.00	0.00	392989	8720	1343	1343	362	354	292	286	1812	1742	35.7	5.63	-100.00	-1	-1	242	107	0	0	0	0
MO_073.bin.12	k__Bacteria (UID203)	5449	104	58	12.07	0.00	0.00	74438	1483	265	265	347	338	280	275	1153	1146	33.9	0.00	-100.00	-1	-1	95	9	0	0	0	0
MO_073.bin.13	c__Deltaproteobacteria (UID3216)	83	247	155	43.92	0.04	0.00	502923	14877	1748	1748	367	355	287	279	2187	2133	36.2	4.75	-100.00	-1	-1	107	139	1	0	0	0
MO_073.bin.14	root (UID1)	5656	56	24	0.00	0.00	0.00	123207	3518	417	417	377	367	295	287	1490	1464	35.5	3.25	-100.00	-1	-1	56	0	0	0	0	0
MO_073.bin.15	k__Bacteria (UID203)	5449	104	58	6.90	0.00	0.00	257303	7771	843	843	389	377	305	296	1729	1626	35.7	5.23	-100.00	-1	-1	100	4	0	0	0	0
MO_073.bin.16	c__Gammaproteobacteria (UID4267)	119	544	284	45.87	1.26	0.00	597593	14539	1976	1976	409	398	302	295	1743	1708	36.3	4.57	-100.00	-1	-1	276	259	9	0	0	0
MO_073.bin.17	k__Bacteria (UID203)	5449	104	58	25.29	0.00	0.00	270250	7432	983	983	339	330	274	267	1114	1074	35.0	1.81	-100.00	-1	-1	83	21	0	0	0	0
MO_073.bin.2	k__Bacteria (UID203)	5449	104	58	18.97	0.00	0.00	198492	6159	627	627	403	390	316	306	1557	1456	35.9	3.24	-100.00	-1	-1	92	12	0	0	0	0
MO_073.bin.3	c__Deltaproteobacteria (UID3216)	83	247	155	32.33	0.00	0.00	655434	24567	2082	2082	404	391	314	303	1638	1561	38.5	5.28	-100.00	-1	-1	162	85	0	0	0	0
MO_073.bin.4	c__Alphaproteobacteria (UID3305)	564	349	230	56.02	2.39	44.44	795333	17687	2710	2710	362	353	293	286	1616	1579	35.7	5.58	-100.00	-1	-1	146	194	9	0	0	0
MO_073.bin.5	k__Bacteria (UID203)	5449	104	58	2.51	0.00	0.00	63986	1802	234	234	363	358	273	265	1340	1297	35.7	5.13	-100.00	-1	-1	98	6	0	0	0	0
MO_073.bin.6	p__Cyanobacteria (UID2192)	79	584	458	12.52	0.22	0.00	168030	8212	617	617	383	365	272	259	1332	1285	38.2	2.74	-100.00	-1	-1	491	91	2	0	0	0
MO_073.bin.7	c__Deltaproteobacteria (UID3216)	83	247	155	89.68	1.49	20.00	1292064	47565	4222	4222	390	377	306	294	2987	2806	37.5	5.68	-100.00	-1	-1	19	223	5	0	0	0
MO_073.bin.8	k__Archaea (UID2)	207	149	107	0.58	0.00	0.00	63393	5844	196	196	452	412	323	293	3183	2863	35.5	10.60	-100.00	-1	-1	141	8	0	0	0	0
MO_073.bin.9	c__Deltaproteobacteria (UID3216)	83	247	155	52.25	4.30	76.92	687739	19613	2302	2302	381	371	298	290	2183	2132	36.0	5.14	-100.00	-1	-1	121	113	13	0	0	0
MO_074.bin.1	c__Gammaproteobacteria (UID4267)	119	544	284	84.00	3.81	0.00	1142764	33698	3517	3517	395	384	324	315	5251	5004	36.0	4.76	-100.00	-1	-1	90	436	17	1	0	0
MO_074.bin.10	k__Bacteria (UID203)	5449	104	58	94.83	2.04	69.23	1095404	33931	3417	3417	403	390	320	310	2064	1961	35.8	5.74	-100.00	-1	-1	3	88	13	0	0	0
MO_074.bin.11	c__Gammaproteobacteria (UID4267)	119	544	284	51.42	1.64	33.33	757266	23722	2307	2307	416	403	328	317	2765	2566	35.9	5.13	-100.00	-1	-1	252	283	9	0	0	0
MO_074.bin.12	root (UID1)	5656	56	24	4.17	0.00	0.00	287876	6619	956	956	374	366	301	294	1750	1723	36.8	3.57	-100.00	-1	-1	55	1	0	0	0	0
MO_074.bin.13	c__Gammaproteobacteria (UID4274)	112	581	290	48.21	0.83	28.57	952048	33640	3187	3187	420	406	298	288	1843	1792	36.5	4.60	-100.00	-1	-1	283	291	7	0	0	0
MO_074.bin.14	c__Alphaproteobacteria (UID3305)	564	349	230	49.77	1.74	0.00	659387	17210	2314	2314	345	336	284	277	1612	1561	34.8	3.95	-100.00	-1	-1	182	163	2	2	0	0
MO_074.bin.15	k__Bacteria (UID203)	5449	104	58	52.59	0.86	0.00	960633	29357	3199	3199	378	366	300	291	2108	2056	35.0	5.41	-100.00	-1	-1	68	35	1	0	0	0
MO_074.bin.16	c__Deltaproteobacteria (UID3216)	83	247	155	9.64	1.29	0.00	264351	6430	947	947	371	361	279	272	2320	2205	36.7	3.91	-100.00	-1	-1	208	37	2	0	0	0
MO_074.bin.17	c__Alphaproteobacteria (UID3305)	564	349	230	97.48	3.84	0.00	1748453	37662	5540	5540	381	372	315	308	3060	2928	35.8	4.39	-100.00	-1	-1	44	295	8	2	0	0
MO_074.bin.18	k__Bacteria (UID203)	5449	104	58	38.10	0.00	0.00	1011664	32177	3098	3098	410	397	326	316	2267	2171	36.0	5.46	-100.00	-1	-1	78	26	0	0	0	0
MO_074.bin.19	c__Deltaproteobacteria (UID3216)	83	247	155	12.62	0.00	0.00	252900	9132	870	870	367	356	290	280	2800	2645	38.2	4.64	-100.00	-1	-1	215	32	0	0	0	0
MO_074.bin.2	c__Gammaproteobacteria (UID4267)	119	544	284	84.03	3.79	13.04	1213649	36406	3752	3752	405	393	323	313	4170	3935	35.5	5.25	-100.00	-1	-1	81	444	17	2	0	0
MO_074.bin.20	s__algicola (UID2846)	47	571	303	55.00	0.00	0.00	520474	26414	1676	1676	386	369	310	294	2774	2589	39.2	4.70	-100.00	-1	-1	214	357	0	0	0	0
MO_074.bin.21	k__Bacteria (UID203)	5449	104	58	13.79	0.00	0.00	225832	7038	713	713	397	382	316	306	1854	1808	36.2	4.42	-100.00	-1	-1	94	10	0	0	0	0
MO_074.bin.22	root (UID1)	5656	56	24	0.00	0.00	0.00	139511	4557	529	529	404	393	263	255	1353	1318	36.2	7.14	-100.00	-1	-1	56	0	0	0	0	0
MO_074.bin.23	k__Bacteria (UID203)	5449	104	58	84.48	8.62	33.33	1438652	42658	4399	4399	412	400	327	317	2690	2580	35.9	5.22	-100.00	-1	-1	47	51	6	0	0	0
MO_074.bin.24	c__Gammaproteobacteria (UID4267)	119	544	284	61.68	1.35	14.29	741010	22189	2471	2471	368	356	299	290	2142	2088	37.1	4.27	-100.00	-1	-1	207	330	7	0	0	0
MO_074.bin.25	c__Deltaproteobacteria (UID3216)	83	247	155	60.50	0.32	100.00	1166869	44145	3898	3898	384	370	299	288	3891	3648	37.7	4.95	-100.00	-1	-1	87	158	2	0	0	0
MO_074.bin.26	k__Bacteria (UID3187)	2258	188	117	67.45	6.94	20.00	2402339	53979	6296	6296	507	493	381	372	8243	8119	36.5	5.18	-100.00	-1	-1	52	126	10	0	0	0
MO_074.bin.27	k__Bacteria (UID203)	5449	104	58	14.66	0.00	0.00	284172	8807	928	928	394	383	306	296	1894	1788	35.9	6.19	-100.00	-1	-1	95	9	0	0	0	0
MO_074.bin.3	c__Alphaproteobacteria (UID3305)	564	349	230	91.96	7.17	10.53	1507512	35213	4825	4825	384	374	312	305	2417	2256	35.3	5.78	-100.00	-1	-1	20	312	16	1	0	0
MO_074.bin.4	c__Alphaproteobacteria (UID3305)	564	349	230	63.67	4.28	30.77	1071068	23926	3671	3671	360	352	291	285	2656	2606	36.0	6.20	-100.00	-1	-1	116	220	13	0	0	0
MO_074.bin.5	k__Bacteria (UID1453)	901	171	117	40.17	0.85	0.00	508192	10309	1631	1631	380	374	311	305	1683	1657	35.0	4.86	-100.00	-1	-1	92	78	1	0	0	0
MO_074.bin.6	c__Deltaproteobacteria (UID3216)	83	247	155	69.49	0.16	0.00	1116813	42032	3756	3756	383	368	297	286	1774	1712	38.6	5.77	-100.00	-1	-1	62	184	1	0	0	0
MO_074.bin.7	root (UID1)	5656	56	24	8.33	0.00	0.00	183135	5245	628	628	362	354	291	283	1476	1449	37.0	5.80	-100.00	-1	-1	54	2	0	0	0	0
MO_074.bin.8	c__Alphaproteobacteria (UID3305)	564	349	230	77.09	7.61	5.00	1148628	27842	3731	3731	377	368	307	300	2360	2209	34.9	5.90	-100.00	-1	-1	71	260	17	1	0	0
MO_074.bin.9	c__Gammaproteobacteria (UID4444)	263	506	232	81.36	1.77	12.50	999542	29487	3114	3114	398	385	320	311	2766	2627	36.4	4.22	-100.00	-1	-1	71	427	8	0	0	0
MO_077.bin.1	c__Gammaproteobacteria (UID4267)	119	544	284	72.72	5.77	6.67	934127	27896	2936	2936	398	386	318	308	2444	2353	36.0	5.26	-100.00	-1	-1	154	364	24	2	0	0
MO_077.bin.10	k__Bacteria (UID203)	5449	104	58	17.24	0.00	0.00	174489	4947	571	571	378	369	305	296	2050	2002	35.7	2.92	-100.00	-1	-1	93	11	0	0	0	0
MO_077.bin.11	c__Gammaproteobacteria (UID4274)	112	581	290	10.49	0.00	0.00	138799	3928	493	493	364	350	281	273	2679	2574	38.2	5.52	-100.00	-1	-1	493	88	0	0	0	0
MO_077.bin.12	k__Bacteria (UID203)	5449	102	56	20.54	0.00	0.00	259588	7028	925	925	375	365	280	273	1280	1247	36.0	6.20	-100.00	-1	-1	87	15	0	0	0	0
MO_077.bin.13	k__Bacteria (UID203)	5449	104	58	22.41	0.00	0.00	505158	11314	1732	1732	370	363	291	285	1616	1575	35.7	4.42	-100.00	-1	-1	85	19	0	0	0	0
MO_077.bin.14	f__Rhodobacteraceae (UID3356)	67	617	330	81.82	0.68	25.00	944931	24505	3235	3235	357	348	292	284	1853	1735	34.6	5.41	-100.00	-1	-1	119	494	4	0	0	0
MO_077.bin.15	c__Deltaproteobacteria (UID3216)	83	247	155	66.67	1.51	33.33	920537	27273	3066	3066	387	376	300	291	2057	1994	36.1	4.58	-100.00	-1	-1	68	176	3	0	0	0
MO_077.bin.16	c__Alphaproteobacteria (UID3305)	564	349	230	86.45	18.13	70.49	1552659	34118	5262	5262	361	353	295	288	1616	1579	35.9	4.87	-100.00	-1	-1	48	248	49	4	0	0
MO_077.bin.17	k__Bacteria (UID203)	5449	104	58	12.07	0.00	0.00	245390	6647	858	858	372	359	286	278	2538	2455	35.0	5.17	-100.00	-1	-1	95	9	0	0	0	0
MO_077.bin.18	c__Deltaproteobacteria (UID3216)	83	247	155	86.34	8.91	52.63	1244085	35417	4037	4037	389	378	308	299	2546	2409	36.2	4.78	-100.00	-1	-1	53	175	19	0	0	0
MO_077.bin.19	k__Bacteria (UID203)	5449	104	58	5.17	0.00	0.00	394373	7789	1248	1248	401	391	316	309	4404	4280	37.5	6.75	-100.00	-1	-1	101	3	0	0	0	0
MO_077.bin.2	root (UID1)	5656	56	24	8.33	0.00	0.00	95417	2885	319	319	364	355	299	290	1482	1455	35.2	5.44	-100.00	-1	-1	54	2	0	0	0	0
MO_077.bin.20	c__Gammaproteobacteria (UID4267)	119	544	284	34.96	0.00	0.00	417068	12401	1405	1405	366	354	296	288	1175	1092	37.1	3.69	-100.00	-1	-1	363	181	0	0	0	0
MO_077.bin.21	k__Bacteria (UID203)	5449	104	58	5.17	0.00	0.00	73864	1690	236	236	393	382	312	305	1786	1737	34.0	1.11	-100.00	-1	-1	100	4	0	0	0	0
MO_077.bin.22	c__Deltaproteobacteria (UID3216)	83	247	155	63.14	2.60	28.57	1401468	52930	4635	4635	391	377	302	290	2301	2212	38.6	5.50	-100.00	-1	-1	82	158	7	0	0	0
MO_077.bin.23	k__Bacteria (UID203)	5449	104	58	45.45	0.00	0.00	716767	21696	2232	2232	408	396	321	311	3376	3197	35.1	5.42	-100.00	-1	-1	66	38	0	0	0	0
MO_077.bin.24	c__Deltaproteobacteria (UID3216)	83	247	155	92.26	1.45	0.00	1353071	49937	4370	4370	391	377	309	298	2987	2804	37.5	5.28	-100.00	-1	-1	12	232	3	0	0	0
MO_077.bin.25	k__Bacteria (UID203)	5449	104	58	15.52	0.00	0.00	260718	4463	852	852	373	367	306	300	1696	1686	37.5	5.90	-100.00	-1	-1	95	9	0	0	0	0
MO_077.bin.26	c__Gammaproteobacteria (UID4267)	119	544	284	82.35	7.16	54.76	1212420	30409	4052	4052	400	389	299	291	1918	1878	36.4	4.69	-100.00	-1	-1	86	418	39	1	0	0
MO_077.bin.27	c__Deltaproteobacteria (UID3216)	83	247	155	26.70	0.65	0.00	515371	8348	1504	1504	426	418	342	337	2586	2546	35.7	5.59	-100.00	-1	-1	175	71	1	0	0	0
MO_077.bin.28	root (UID1)	5656	56	24	2.08	0.00	0.00	133633	3406	448	448	407	392	298	290	1958	1823	35.1	5.27	-100.00	-1	-1	54	2	0	0	0	0
MO_077.bin.29	k__Bacteria (UID203)	5449	104	58	15.52	0.00	0.00	119967	3742	387	387	399	389	309	300	1826	1785	35.5	3.02	-100.00	-1	-1	94	10	0	0	0	0
MO_077.bin.3	c__Deltaproteobacteria (UID3216)	83	247	155	25.61	0.32	0.00	439290	13370	1465	1465	388	375	299	290	2299	2207	35.7	4.24	-100.00	-1	-1	177	69	1	0	0	0
MO_077.bin.30	c__Gammaproteobacteria (UID4274)	112	581	290	73.84	2.68	0.00	824572	23606	2745	2745	394	381	300	291	2096	2031	36.7	5.49	-100.00	-1	-1	146	419	15	1	0	0
MO_077.bin.4	root (UID1)	5656	56	24	4.17	0.00	0.00	168768	4863	594	594	349	339	284	275	1394	1368	36.0	4.81	-100.00	-1	-1	55	1	0	0	0	0
MO_077.bin.5	c__Gammaproteobacteria (UID4274)	112	581	290	6.06	0.00	0.00	86998	3177	319	319	336	324	272	262	1145	1106	38.4	0.00	-100.00	-1	-1	541	40	0	0	0	0
MO_077.bin.6	c__Gammaproteobacteria (UID4201)	1164	275	174	31.11	0.99	0.00	338983	8204	1056	1056	396	385	321	313	1841	1808	36.9	4.88	-100.00	-1	-1	192	79	4	0	0	0
MO_077.bin.7	c__Alphaproteobacteria (UID3305)	564	349	230	96.16	6.68	16.67	1418431	32329	4582	4582	381	371	309	302	3850	3650	36.0	4.91	-100.00	-1	-1	14	317	15	3	0	0
MO_077.bin.8	k__Bacteria (UID1453)	901	171	117	32.28	1.28	0.00	366592	7554	1203	1203	377	370	304	298	1751	1734	34.5	3.67	-100.00	-1	-1	117	52	2	0	0	0
MO_077.bin.9	c__Deltaproteobacteria (UID3216)	83	247	155	90.00	1.27	20.00	1391277	54145	4496	4496	390	374	309	297	2367	2284	37.5	5.14	-100.00	-1	-1	18	224	5	0	0	0
MO_082.bin.1	c__Deltaproteobacteria (UID3216)	83	247	155	10.66	0.00	0.00	122359	3563	410	410	387	375	298	289	1746	1687	35.3	4.75	-100.00	-1	-1	210	37	0	0	0	0
MO_082.bin.10	c__Gammaproteobacteria (UID4267)	119	544	284	36.82	1.41	0.00	436507	10679	1378	1378	384	374	316	309	1871	1833	37.2	4.36	-100.00	-1	-1	333	206	5	0	0	0
MO_082.bin.11	k__Bacteria (UID203)	5449	103	57	16.43	0.00	0.00	732464	12543	2287	2287	391	385	320	314	2400	2339	36.9	6.73	-100.00	-1	-1	89	14	0	0	0	0
MO_082.bin.12	k__Bacteria (UID203)	5449	104	58	13.79	0.00	0.00	295819	6211	961	961	377	369	307	301	1603	1566	34.5	6.13	-100.00	-1	-1	95	9	0	0	0	0
MO_082.bin.13	k__Bacteria (UID203)	5449	102	56	12.72	0.00	0.00	287821	8763	940	940	401	389	306	296	1426	1387	35.5	4.35	-100.00	-1	-1	85	17	0	0	0	0
MO_082.bin.14	k__Bacteria (UID203)	5449	104	58	14.23	0.00	0.00	209777	4673	738	738	348	340	284	277	1389	1364	36.2	6.12	-100.00	-1	-1	86	18	0	0	0	0
MO_082.bin.15	root (UID1)	5656	56	24	0.00	0.00	0.00	117683	4879	619	619	256	242	190	182	3122	2963	39.4	4.19	-100.00	-1	-1	56	0	0	0	0	0
MO_082.bin.16	c__Deltaproteobacteria (UID3216)	83	247	155	92.69	0.16	0.00	1363557	50171	4414	4414	390	377	308	297	2044	1969	37.5	5.61	-100.00	-1	-1	12	234	1	0	0	0
MO_082.bin.17	c__Deltaproteobacteria (UID3216)	83	247	155	33.99	3.23	50.00	386571	10787	1296	1296	384	373	298	289	1964	1935	36.3	5.56	-100.00	-1	-1	166	75	6	0	0	0
MO_082.bin.18	c__Deltaproteobacteria (UID3216)	83	247	155	84.84	3.76	23.08	2079213	36652	5812	5812	434	425	357	351	12621	12408	36.4	6.80	-100.00	-1	-1	34	202	10	1	0	0
MO_082.bin.19	c__Deltaproteobacteria (UID3216)	83	247	155	77.00	2.95	66.67	991201	29009	3235	3235	387	375	306	297	2251	2199	36.1	4.24	-100.00	-1	-1	64	174	9	0	0	0
MO_082.bin.2	k__Bacteria (UID203)	5449	104	58	8.15	0.00	0.00	67071	2268	234	234	390	371	286	276	1407	1363	35.2	6.12	-100.00	-1	-1	90	14	0	0	0	0
MO_082.bin.20	k__Bacteria (UID203)	5449	104	58	43.10	0.00	0.00	1031616	23700	3411	3411	371	363	302	295	2754	2638	36.1	5.39	-100.00	-1	-1	76	28	0	0	0	0
MO_082.bin.21	c__Deltaproteobacteria (UID3216)	83	247	155	50.24	3.44	71.43	1367031	51181	4499	4499	393	378	303	292	2019	1957	38.7	6.19	-100.00	-1	-1	120	120	7	0	0	0
MO_082.bin.22	k__Bacteria (UID203)	5449	102	56	89.55	7.79	88.89	1221513	35130	3974	3974	395	383	307	298	2576	2434	36.1	4.77	-100.00	-1	-1	13	71	18	0	0	0
MO_082.bin.23	k__Bacteria (UID1453)	901	171	117	33.48	0.00	0.00	260891	6154	945	945	344	336	276	269	1564	1522	35.5	2.52	-100.00	-1	-1	91	80	0	0	0	0
MO_082.bin.24	c__Alphaproteobacteria (UID3305)	564	349	230	36.65	0.43	0.00	487812	11353	1606	1606	377	370	303	296	1848	1779	35.8	3.60	-100.00	-1	-1	209	139	1	0	0	0
MO_082.bin.25	c__Gammaproteobacteria (UID4267)	119	544	284	80.33	10.56	55.00	1237364	31416	4147	4147	394	385	298	290	4005	3809	36.4	4.42	-100.00	-1	-1	94	396	51	3	0	0
MO_082.bin.26	k__Bacteria (UID203)	5449	103	57	92.98	9.01	18.18	2391250	43171	6947	6947	418	409	344	337	8620	8370	37.1	5.82	-100.00	-1	-1	4	77	22	0	0	0
MO_082.bin.27	k__Bacteria (UID203)	5449	104	58	35.50	1.72	0.00	821725	12959	2648	2648	389	383	310	305	2579	2459	37.2	4.31	-100.00	-1	-1	79	24	1	0	0	0
MO_082.bin.28	c__Alphaproteobacteria (UID3305)	564	349	230	83.04	7.41	33.33	1270007	29032	4117	4117	380	370	308	301	4831	4599	36.0	4.97	-100.00	-1	-1	65	262	21	1	0	0
MO_082.bin.29	k__Bacteria (UID203)	5449	104	58	22.57	0.00	0.00	240016	5095	824	824	361	353	291	285	1345	1324	34.6	3.25	-100.00	-1	-1	87	17	0	0	0	0
MO_082.bin.3	root (UID1)	5656	56	24	0.00	0.00	0.00	91164	3301	313	313	385	372	291	280	2066	1959	36.6	3.87	-100.00	-1	-1	56	0	0	0	0	0
MO_082.bin.30	c__Deltaproteobacteria (UID3216)	83	247	155	18.89	1.94	0.00	719731	11978	2194	2194	402	395	328	322	2536	2425	36.9	6.57	-100.00	-1	-1	199	45	3	0	0	0
MO_082.bin.31	c__Gammaproteobacteria (UID4267)	119	544	284	10.26	0.00	0.00	89757	2378	295	295	403	391	304	296	2203	2143	37.3	4.71	-100.00	-1	-1	457	87	0	0	0	0
MO_082.bin.32	c__Alphaproteobacteria (UID3305)	564	349	230	60.88	1.19	27.27	1015196	22685	3353	3353	370	362	302	296	1847	1785	36.0	5.82	-100.00	-1	-1	143	195	11	0	0	0
MO_082.bin.33	c__Alphaproteobacteria (UID3305)	564	349	230	90.40	20.90	77.94	1825045	41082	5967	5967	374	365	305	298	3170	3007	36.0	5.14	-100.00	-1	-1	37	248	62	2	0	0
MO_082.bin.34	root (UID1)	5656	56	24	0.00	0.00	0.00	130085	4802	422	422	398	385	308	296	1703	1635	38.5	7.35	-100.00	-1	-1	56	0	0	0	0	0
MO_082.bin.35	c__Gammaproteobacteria (UID4274)	112	581	290	25.78	0.57	0.00	341244	9538	1153	1153	375	363	295	287	1923	1827	37.7	4.94	-100.00	-1	-1	413	165	3	0	0	0
MO_082.bin.36	k__Bacteria (UID1452)	924	163	110	30.45	0.91	0.00	275752	9087	886	886	381	367	311	300	2092	2027	39.6	3.26	-100.00	-1	-1	113	49	1	0	0	0
MO_082.bin.37	k__Bacteria (UID203)	5449	104	58	12.93	0.00	0.00	106003	2419	356	356	352	341	297	290	1004	1000	34.8	0.00	-100.00	-1	-1	96	8	0	0	0	0
MO_082.bin.38	c__Gammaproteobacteria (UID4267)	119	544	284	11.85	0.00	0.00	316828	7748	1117	1117	392	381	283	276	1755	1715	35.7	3.98	-100.00	-1	-1	466	78	0	0	0	0
MO_082.bin.39	root (UID1)	5656	56	24	0.00	0.00	0.00	98166	2797	323	323	424	410	303	295	1744	1718	36.5	7.10	-100.00	-1	-1	56	0	0	0	0	0
MO_082.bin.4	root (UID1)	5656	56	24	0.00	0.00	0.00	84723	1984	253	253	451	441	334	327	1135	1113	37.1	3.91	-100.00	-1	-1	56	0	0	0	0	0
MO_082.bin.5	k__Bacteria (UID203)	5449	104	58	15.52	0.00	0.00	116059	2729	388	388	356	346	299	292	1155	1135	34.4	7.94	-100.00	-1	-1	95	9	0	0	0	0
MO_082.bin.6	k__Bacteria (UID203)	5449	104	58	10.34	0.00	0.00	121820	3761	379	379	453	438	321	311	1959	1908	35.1	3.05	-100.00	-1	-1	97	7	0	0	0	0
MO_082.bin.7	k__Bacteria (UID203)	5449	103	58	6.90	0.00	0.00	154492	5911	518	518	423	401	298	286	1920	1832	36.2	2.40	-100.00	-1	-1	99	4	0	0	0	0
MO_082.bin.8	root (UID1)	5656	56	24	0.00	0.00	0.00	124745	5488	718	718	239	225	173	166	3642	3443	37.4	5.13	-100.00	-1	-1	56	0	0	0	0	0
MO_082.bin.9	c__Deltaproteobacteria (UID3216)	83	247	155	87.33	3.71	25.00	1224525	47447	4000	4000	387	372	306	294	2367	2283	37.4	5.22	-100.00	-1	-1	30	211	5	1	0	0
MO_098.bin.1	c__Deltaproteobacteria (UID3216)	83	247	155	4.79	0.00	0.00	63616	1015	161	161	465	456	395	388	2627	2584	36.5	9.30	-100.00	-1	-1	227	20	0	0	0	0
MO_098.bin.10	root (UID1)	5656	56	24	8.33	0.00	0.00	147921	3258	526	526	348	339	281	275	1101	1073	35.6	3.18	-100.00	-1	-1	54	2	0	0	0	0
MO_098.bin.11	p__Cyanobacteria (UID2192)	79	584	458	46.00	0.22	0.00	795812	36248	2917	2917	393	374	272	260	1861	1716	35.9	5.23	-100.00	-1	-1	293	290	1	0	0	0
MO_098.bin.12	c__Gammaproteobacteria (UID4267)	119	544	284	12.41	0.09	0.00	157342	4856	517	517	388	374	304	294	1477	1441	35.7	8.95	-100.00	-1	-1	462	81	1	0	0	0
MO_098.bin.13	c__Deltaproteobacteria (UID3216)	83	247	155	80.81	1.02	0.00	1152803	44632	3806	3806	384	368	302	291	2074	1995	37.6	5.29	-100.00	-1	-1	41	203	3	0	0	0
